,dayname,hour,cluster,Lat,Lon
0,Friday,0,-1,40.72963024333719,-73.95221436848203
1,Friday,0,0,40.74046561450638,-73.99183149764943
2,Friday,0,1,40.717083962264155,-73.95951415094339
3,Friday,0,2,40.708742105263156,-74.00814736842105
4,Friday,0,3,40.71395,-73.95083333333334
5,Friday,0,4,40.70397222222223,-74.01152222222223
6,Friday,1,-1,40.732331249999994,-73.95150263157895
7,Friday,1,0,40.758560465116275,-73.9835434108527
8,Friday,1,1,40.73433171521035,-73.99644029126213
9,Friday,1,2,40.708688888888894,-74.00821481481482
10,Friday,1,3,40.759875,-73.97168035714286
11,Friday,1,4,40.71997959183673,-73.95818775510205
12,Friday,1,5,40.71353571428572,-73.96059285714286
13,Friday,1,6,40.750192857142856,-74.00272142857143
14,Friday,1,7,40.77038666666667,-73.98288
15,Friday,2,-1,40.737845655172414,-73.96696496551723
16,Friday,2,0,40.741255384615386,-74.00497615384616
17,Friday,2,1,40.72120945945946,-73.9913472972973
18,Friday,2,2,40.72942962962963,-74.0004888888889
19,Friday,2,3,40.73363,-74.005445
20,Friday,2,4,40.75601153846154,-73.98654615384615
21,Friday,3,-1,40.739375,-73.96634138888889
22,Friday,3,0,40.741655,-74.00540375
23,Friday,3,1,40.762876923076924,-73.98103333333333
24,Friday,3,2,40.72115384615385,-73.99471153846153
25,Friday,3,3,40.71982,-74.00602
26,Friday,3,4,40.725657142857145,-74.00519523809524
27,Friday,3,5,40.72143333333334,-73.98637142857143
28,Friday,3,6,40.71879444444445,-73.96230555555556
29,Friday,3,7,40.7070625,-74.00750833333333
30,Friday,3,8,40.75613333333334,-73.99345555555556
31,Friday,4,-1,40.73453142174432,-73.95379091995221
32,Friday,4,0,40.735982310984305,-73.99325592011412
33,Friday,4,1,40.778439024390245,-73.97955121951219
34,Friday,4,2,40.64554605263157,-73.77882236842105
35,Friday,4,3,40.75635,-73.99181818181818
36,Friday,4,4,40.78975,-73.97537222222223
37,Friday,4,5,40.71683125,-73.9577125
38,Friday,4,6,40.775368,-73.95421999999999
39,Friday,4,7,40.713715384615384,-73.95069230769231
40,Friday,4,8,40.766996875000004,-73.9579875
41,Friday,5,-1,40.729090780911065,-73.93663177874187
42,Friday,5,0,40.747615021929825,-73.98604720394736
43,Friday,5,1,40.64601455696203,-73.78222215189874
44,Friday,5,2,40.71450803571429,-73.95694375000001
45,Friday,5,3,40.69175277777778,-73.98551944444445
46,Friday,5,4,40.69483333333333,-74.1781125
47,Friday,5,5,40.727604761904765,-73.95147142857142
48,Friday,5,6,40.68278333333333,-73.99577777777777
49,Friday,6,-1,40.72688176881303,-73.94468518231187
50,Friday,6,0,40.75222236652237,-73.9818954978355
51,Friday,6,1,40.645663909774434,-73.78105338345866
52,Friday,6,2,40.64566666666666,-73.78957
53,Friday,6,3,40.71578608695653,-73.9567547826087
54,Friday,6,4,40.803695652173914,-73.9653695652174
55,Friday,6,5,40.692991428571425,-73.98362285714285
56,Friday,6,6,40.68801764705882,-73.98810294117646
57,Friday,6,7,40.72492173913043,-73.95128695652174
58,Friday,6,8,40.67203157894737,-73.98537368421053
59,Friday,6,9,40.69437,-73.996285
60,Friday,7,-1,40.72092680635838,-73.94871351156068
61,Friday,7,0,40.64475384615384,-73.78214871794871
62,Friday,7,1,40.75045326704546,-73.98354600243508
63,Friday,7,2,40.69472916666667,-73.9957625
64,Friday,7,3,40.769622222222225,-73.86468888888889
65,Friday,7,4,40.774027272727274,-73.87243181818182
66,Friday,7,5,40.71577,-73.95931142857143
67,Friday,7,6,40.645896428571426,-73.77674285714285
68,Friday,7,7,40.7258962962963,-73.9489962962963
69,Friday,7,8,40.70271739130435,-73.98797391304348
70,Friday,7,9,40.720905263157896,-73.94268157894737
71,Friday,8,-1,40.72317664974619,-73.94296671501088
72,Friday,8,0,40.74889623496944,-73.98447293514685
73,Friday,8,1,40.77403571428571,-73.87230000000001
74,Friday,8,2,40.76972045454546,-73.86446590909091
75,Friday,8,3,40.71127307692307,-73.96439615384615
76,Friday,8,4,40.71818421052632,-73.96267368421053
77,Friday,8,5,40.69338717948718,-73.9847076923077
78,Friday,8,6,40.702555555555556,-73.98487222222222
79,Friday,8,7,40.71630857142857,-73.95584000000001
80,Friday,8,8,40.74646190476191,-73.95671904761905
81,Friday,9,-1,40.72846449799197,-73.93747100401606
82,Friday,9,0,40.747460615923885,-73.98551039058587
83,Friday,9,1,40.71816666666667,-73.9584908045977
84,Friday,9,2,40.710767857142855,-73.94878214285714
85,Friday,9,3,40.77398214285714,-73.87237321428572
86,Friday,9,4,40.76933661971831,-73.86368591549295
87,Friday,9,5,40.69268275862069,-73.98446896551724
88,Friday,9,6,40.64595263157895,-73.77694210526316
89,Friday,9,7,40.70278285714286,-73.98722285714285
90,Friday,9,8,40.710716129032264,-73.96445483870967
91,Friday,9,9,40.69063,-73.992755
92,Friday,10,-1,40.72645972812235,-73.94261461342396
93,Friday,10,0,40.74751224810259,-73.98626822821251
94,Friday,10,1,40.769491025641024,-73.86426025641026
95,Friday,10,2,40.773974242424245,-73.87228787878787
96,Friday,10,3,40.71544125874126,-73.95524615384616
97,Friday,10,4,40.644257894736846,-73.78968947368422
98,Friday,10,5,40.646024137931036,-73.78246551724138
99,Friday,10,6,40.70312272727273,-73.98859545454546
100,Friday,11,-1,40.732681464737794,-73.94300045207956
101,Friday,11,0,40.74563240389822,-73.98712244179751
102,Friday,11,1,40.71590714285714,-73.96063163265306
103,Friday,11,2,40.77394,-73.87228714285713
104,Friday,11,3,40.76959206349206,-73.86430952380952
105,Friday,11,4,40.645999999999994,-73.77687777777777
106,Friday,11,5,40.70284375,-73.988978125
107,Friday,11,6,40.787873469387755,-73.97423265306122
108,Friday,11,7,40.64473913043478,-73.78221304347827
109,Friday,11,8,40.693,-73.9862525
110,Friday,11,9,40.68485555555556,-73.97707777777778
111,Friday,11,10,40.80808947368421,-73.96353157894737
112,Friday,12,-1,40.7368125769569,-73.94140430958663
113,Friday,12,0,40.74630607170898,-73.9870433656111
114,Friday,12,1,40.64532692307692,-73.7823423076923
115,Friday,12,2,40.77397560975609,-73.87228780487806
116,Friday,12,3,40.644445000000005,-73.789535
117,Friday,12,4,40.769693220338986,-73.86422372881356
118,Friday,12,5,40.71607789473684,-73.96023894736842
119,Friday,12,6,40.64593461538462,-73.77684615384615
120,Friday,12,7,40.70258333333333,-73.98998333333334
121,Friday,12,8,40.69349393939394,-73.98714545454546
122,Friday,12,9,40.79866666666666,-73.9627388888889
123,Friday,12,10,40.69388095238095,-74.17775238095238
124,Friday,13,-1,40.73527181738367,-73.93143450395084
125,Friday,13,0,40.77398,-73.87229142857143
126,Friday,13,1,40.746879449059904,-73.9867049409707
127,Friday,13,2,40.645303636363636,-73.77968545454546
128,Friday,13,3,40.644372,-73.789402
129,Friday,13,4,40.69241842105263,-73.99102105263158
130,Friday,13,5,40.769921311475414,-73.86472459016393
131,Friday,13,6,40.717221875,-73.95912187500001
132,Friday,13,7,40.70230465116279,-73.98930232558139
133,Friday,13,8,40.69475833333333,-74.17787222222222
134,Friday,13,9,40.80533157894737,-73.96438421052632
135,Friday,13,10,40.72886842105263,-73.95657368421053
136,Friday,14,-1,40.73271386861314,-73.94097308394161
137,Friday,14,0,40.74717423146473,-73.98648580470163
138,Friday,14,1,40.6450456445993,-73.7834024390244
139,Friday,14,2,40.77396585365854,-73.87229756097561
140,Friday,14,3,40.690368,-73.98892
141,Friday,14,4,40.7699975,-73.86468375000001
142,Friday,14,5,40.7163213592233,-73.95985436893204
143,Friday,14,6,40.693881081081074,-74.17783513513514
144,Friday,14,7,40.70289375,-73.98882708333333
145,Friday,14,8,40.74839444444444,-73.94102222222222
146,Friday,14,9,40.806803125,-73.963759375
147,Friday,14,10,40.67529444444445,-73.97745
148,Friday,15,-1,40.73169055690072,-73.93572921711058
149,Friday,15,0,40.74668798861764,-73.98668695521941
150,Friday,15,1,40.77393831775701,-73.87222803738318
151,Friday,15,2,40.6939358974359,-74.17791282051282
152,Friday,15,3,40.76996153846154,-73.8646375
153,Friday,15,4,40.64557555555555,-73.78388577777777
154,Friday,15,5,40.68783214285714,-74.18172142857144
155,Friday,15,6,40.692145833333335,-73.98925555555554
156,Friday,15,7,40.718122388059705,-73.9586671641791
157,Friday,15,8,40.70298222222222,-73.98808222222222
158,Friday,15,9,40.773068,-73.88562
159,Friday,15,10,40.80721034482759,-73.96377586206897
160,Friday,16,-1,40.73328052594172,-73.93943233830846
161,Friday,16,0,40.74712258192389,-73.98650902484144
162,Friday,16,1,40.773979,-73.872239
163,Friday,16,2,40.645436097560975,-73.7841868292683
164,Friday,16,3,40.76973853211009,-73.86455137614679
165,Friday,16,4,40.691449999999996,-73.99198636363636
166,Friday,16,5,40.68781,-74.18192
167,Friday,16,6,40.773133333333334,-73.88562222222222
168,Friday,16,7,40.807036363636364,-73.9639840909091
169,Friday,16,8,40.695077777777776,-74.17816222222223
170,Friday,16,9,40.70284150943396,-73.98844716981132
